0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:59:31 -0500] "GET /CreationContenido/ModificaMat?tipo=1&back=1&cveMat=SOLICITUDTEST HTTP/1.1" 200 11042
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:59:34 -0500] "GET /CreationContenido/ModificaPermisoContenido?cveMat=SOLICITUDTEST HTTP/1.1" 200 8119
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:59:36 -0500] "GET /CreationContenido/AgregaPermisoContenido?cveMat=SOLICITUDTEST HTTP/1.1" 200 441298
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:59:36 -0500] "GET /CreationContenido/js/materia/AgregaPermisoContenido.js HTTP/1.1" 200 1103
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:59:42 -0500] "POST /CreationContenido/AgregaPermisoContenido HTTP/1.1" 200 6538
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:59:42 -0500] "POST /CreationContenido/ModificaPermisoContenido HTTP/1.1" 200 95456
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:59:45 -0500] "GET /CreationContenido/ModificaMat?tipo=1&back=1&cveMat=SOLICITUDTEST HTTP/1.1" 200 11042
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:59:48 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 9903
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:59:51 -0500] "POST /CreationContenido/BusMat HTTP/1.1" 200 18331
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:00:02 -0500] "GET /CreationContenido/Solicitar?cveMat=TEST HTTP/1.1" 200 8495
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:00:04 -0500] "POST /CreationContenido/Solicitar HTTP/1.1" 200 8514
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:00:05 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 9903
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:00:07 -0500] "POST /CreationContenido/BusMat HTTP/1.1" 200 18331
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:00:14 -0500] "GET /CreationContenido/Solicitar?cveMat=SOLICITUDTEST HTTP/1.1" 200 8523
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:00:18 -0500] "POST /CreationContenido/Solicitar HTTP/1.1" 200 8542
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:00:20 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 9903
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:00:22 -0500] "POST /CreationContenido/BusMat HTTP/1.1" 200 18342
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:01:17 -0500] "GET /CreationContenido/Revisar?cveMat=SOLICITUDTEST HTTP/1.1" 200 9175
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:01:22 -0500] "POST /CreationContenido/Revisar HTTP/1.1" 200 9194
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:01:23 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 9903
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:01:26 -0500] "POST /CreationContenido/BusMat HTTP/1.1" 200 18341
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:01:41 -0500] "GET /CreationContenido/Solicitar?cveMat=SOLICITUDTEST HTTP/1.1" 200 8523
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:01:43 -0500] "POST /CreationContenido/Solicitar HTTP/1.1" 200 8542
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:01:44 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 9903
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:01:50 -0500] "POST /CreationContenido/BusMat HTTP/1.1" 200 18342
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:01:52 -0500] "GET /CreationContenido/Revisar?cveMat=SOLICITUDTEST HTTP/1.1" 200 9175
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:01:53 -0500] "GET /CreationContenido/SolicitarHistoria?cveMat=SOLICITUDTEST HTTP/1.1" 200 5337
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:02:34 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 9903
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:02:36 -0500] "POST /CreationContenido/BusMat HTTP/1.1" 200 18342
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:02:38 -0500] "GET /CreationContenido/Revisar?cveMat=SOLICITUDTEST HTTP/1.1" 200 9175
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:02:40 -0500] "POST /CreationContenido/Revisar HTTP/1.1" 200 9194
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:04:04 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 9903
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:04:07 -0500] "POST /CreationContenido/BusMat HTTP/1.1" 200 18340
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:04:10 -0500] "GET /CreationContenido/Validar?cveMat=SOLICITUDTEST HTTP/1.1" 200 9629
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:04:33 -0500] "POST /CreationContenido/Validar HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:04:35 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 9903
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:04:38 -0500] "POST /CreationContenido/BusMat HTTP/1.1" 200 18341
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:04:41 -0500] "GET /CreationContenido/Solicitar?cveMat=SOLICITUDTEST HTTP/1.1" 200 8523
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:05:50 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 9903
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:05:53 -0500] "POST /CreationContenido/BusMat HTTP/1.1" 200 18341
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:05:56 -0500] "GET /CreationContenido/Solicitar?cveMat=SOLICITUDTEST HTTP/1.1" 200 8523
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:05:59 -0500] "POST /CreationContenido/Solicitar HTTP/1.1" 200 8542
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:06:01 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 9903
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:06:05 -0500] "POST /CreationContenido/BusMat HTTP/1.1" 200 18342
